"","X1","Squirrel","date","ODBA","Feed","Forage","NestMove","notmoving","Sleep","Travel","Deploy"
"55",4,"F6",2015-04-27,458606.12,18543,25907,3816,2881,31401,3852,"April 2015 Week 1"
"56",5,"F6",2015-04-28,394517.38,21069,21917,3967,2579,34123,2745,"April 2015 Week 1"
"57",6,"F6",2015-04-29,503975.96,18261,30902,2335,2075,28775,4052,"April 2015 Week 1"
"58",7,"F6",2015-04-30,505215.38,18751,30106,2195,2442,28705,4201,"April 2015 Week 1"
"59",1,"G2",2015-04-24,378716.4,22039,20980,3209,7884,29731,2557,"April 2015 Week 1"
"60",2,"G2",2015-04-25,388240.91,23987,20934,2213,8134,28205,2927,"April 2015 Week 1"
"61",3,"G2",2015-04-26,418573.63,23513,22616,2912,4211,30126,3022,"April 2015 Week 1"
"62",4,"G2",2015-04-27,441234.75,24627,23885,3319,6912,24609,3048,"April 2015 Week 1"
"63",5,"G2",2015-04-28,338384.22,24789,16684,2840,9418,30430,2239,"April 2015 Week 1"
"64",6,"G2",2015-04-29,425428.5,24335,22998,2542,5704,27907,2914,"April 2015 Week 1"
"65",7,"G2",2015-04-30,387381.56,21933,20885,2849,8818,29292,2623,"April 2015 Week 1"
"66",1,"H6",2015-04-24,283273.42,26503,12267,5152,15921,25258,1299,"April 2015 Week 1"
"67",2,"H6",2015-04-25,265378.09,28211,10331,6298,21028,19568,964,"April 2015 Week 1"
"68",3,"H6",2015-04-26,298504.03,31725,13184,3550,18906,17642,1393,"April 2015 Week 1"
"69",4,"H6",2015-04-27,298881.9,29248,12809,5566,12751,24611,1415,"April 2015 Week 1"
"70",5,"H6",2015-04-28,325693.73,31087,14891,3005,28203,7487,1727,"April 2015 Week 1"
"71",6,"H6",2015-04-29,282203.61,30764,12120,3507,20666,18071,1272,"April 2015 Week 1"
"72",7,"H6",2015-04-30,310227.55,30419,14118,3849,16359,20024,1631,"April 2015 Week 1"
"73",1,"J1",2015-04-24,279279.29,17034,15055,3869,7850,40831,1761,"April 2015 Week 1"
"74",2,"J1",2015-04-25,340281.41,19526,18898,3409,6750,35441,2376,"April 2015 Week 1"
"75",3,"J1",2015-04-26,390099.89,20355,22697,3331,8450,28714,2853,"April 2015 Week 1"
"76",4,"J1",2015-04-27,440814,17591,25825,2451,7618,28809,4106,"April 2015 Week 1"
"77",5,"J1",2015-04-28,358948.16,20452,18836,2536,10170,31504,2902,"April 2015 Week 1"
