Max,Avg,Min,,
59,53.6,46,,
64,57.3,52,,
72,62.2,54,,
77,64.9,46,,
77,66.2,52,,
64,57.1,52,,
70,59.5,54,,
73,63.3,54,,
68,58.8,52,,
64,57.4,52,,
63,55.3,50,,
55,49.3,45,,
68,58.1,50,,
61,56.0,52,,
55,50.8,46,,
63,54.7,48,,
63,53.4,41,,
57,50.7,48,,
72,53.1,45,,
72,63.2,48,,
77,65.0,48,,
81,66.8,50,,
84,70.0,54,,
82,68.7,54,,
81,67.9,52,,
81,70.3,61,,
84,70.9,55,,
81,75.4,66,,
81,67.8,52,,
84,70.0,54,,
84,70.6,54,,
