Max,Avg,Min,,
-8,-18.2,-26,,
-17,-25.5,-33,,
-20,-29.0,-35,,
-18,-30.2,-36,,
-13,-24.5,-31,,
-9,-15.4,-27,,
-6,-7.6,-11,,
-6,-12.8,-22,,
-4,-19.1,-29,,
-6,-18.0,-27,,
3,-10.5,-22,,
34,16.2,-2,,
30,27.2,25,,
25,20.9,18,,
23,19.5,18,,
19,17.0,10,,
16,8.6,1,,
10,-3.0,-17,,
14,6.1,-6,,
27,13.7,0,,
21,5.6,-6,,
23,11.0,-2,,
21,18.6,3,,
12,6.9,-6,,
14,3.0,-11,,
19,12.6,-2,,
19,13.1,7,,
10,7.2,5,,
