Max,Avg,Min,,
16,12.4,5,,
12,9.8,-2,,
16,8.4,-4,,
16,14.4,12,,
14,9.3,1,,
14,6.4,-6,,
16,13.6,12,,
28,22.6,14,,
28,24.5,21,,
25,23.3,19,,
41,31.9,25,,
41,38.9,37,,
39,33.5,30,,
32,28.6,23,,
23,19.0,14,,
21,13.7,5,,
32,27.1,23,,
37,30.7,18,,
41,39.3,37,,
39,36.2,30,,
32,27.6,21,,
25,24.0,21,,
23,21.4,19,,
25,22.9,21,,
34,29.0,25,,
39,35.8,32,,
36,30.5,28,,
27,25.7,25,,
27,24.9,23,,
23,20.6,18,,
