Max,Avg,Min,,
55,46.4,36,,
55,43.8,34,,
59,47.5,39,,
61,46.6,36,,
52,47.9,43,,
57,46.2,37,,
52,41.4,30,,
54,48.2,45,,
57,47.8,37,,
59,50.0,39,,
54,46.0,37,,
46,43.4,39,,
52,46.5,45,,
50,43.7,37,,
50,37.7,28,,
52,36.5,23,,
52,34.8,21,,
54,36.6,21,,
54,42.0,28,,
54,39.3,27,,
55,39.1,25,,
52,42.2,34,,
55,46.6,43,,
59,44.9,34,,
54,47.6,36,,
54,36.5,27,,
48,37.5,28,,
50,37.6,30,,
48,36.0,27,,
48,34.4,23,,
