Max,Avg,Min,,
27,17.7,0,,
25,18.7,14,,
23,15.4,5,,
28,17.4,1,,
32,19.0,5,,
32,24.7,16,,
43,33.1,27,,
45,32.6,19,,
48,39.5,32,,
45,34.8,28,,
45,36.2,30,,
45,34.4,23,,
45,36.9,28,,
46,35.9,25,,
34,29.8,23,,
30,20.8,9,,
34,22.1,7,,
39,30.0,16,,
43,36.0,32,,
41,35.6,30,,
41,33.3,21,,
43,34.8,28,,
46,39.6,36,,
46,39.5,32,,
50,42.5,36,,
50,41.3,34,,
48,37.9,27,,
46,35.3,27,,
48,38.2,27,,
52,42.1,32,,
