Max,Avg,Min,,
18,12.5,9,,
16,14.7,12,,
21,16.7,14,,
21,15.8,10,,
21,20.2,19,,
25,24.3,23,,
28,26.5,25,,
37,31.4,23,,
37,35.0,32,,
34,31.9,30,,
34,29.8,25,,
28,22.3,12,,
19,14.2,9,,
10,5.8,3,,
12,5.0,1,,
25,20.4,12,,
28,24.5,21,,
27,21.7,19,,
28,24.4,18,,
19,15.6,9,,
9,6.9,3,,
7,3.3,-4,,
3,0.3,-4,,
5,0.7,-4,,
5,2.0,-2,,
3,0.6,-6,,
14,9.5,3,,
23,15.3,5,,
10,5.2,-8,,
18,6.4,-9,,
37,28.9,19,,
