Max,Avg,Min,,
50,37.8,28,,
46,35.1,27,,
46,31.2,19,,
45,35.0,25,,
43,38.5,32,,
43,37.1,30,,
36,33.6,32,,
37,32.0,27,,
37,27.2,19,,
36,29.0,23,,
43,34.8,28,,
46,33.4,23,,
48,41.9,36,,
46,40.1,36,,
55,44.1,37,,
52,46.5,43,,
46,42.5,37,,
48,41.2,36,,
46,39.9,36,,
52,43.0,36,,
46,42.5,37,,
43,37.5,34,,
50,41.5,36,,
43,39.5,36,,
48,40.8,37,,
41,35.4,32,,
43,36.8,32,,
30,25.8,19,,
30,29.4,28,,
37,33.1,27,,
28,21.8,12,,
