Max,Avg,Min,,
86,72.8,59,,
73,63.2,0,,
70,62.0,54,,
73,65.6,59,,
75,66.4,59,,
72,63.5,55,,
61,57.2,54,,
57,54.6,52,,
59,52.9,48,,
57,51.0,46,,
64,55.1,41,,
72,59.1,48,,
66,60.4,57,,
66,57.3,52,,
63,53.7,39,,
63,54.8,46,,
64,51.9,39,,
64,51.8,39,,
70,54.0,36,,
70,60.0,50,,
73,63.1,57,,
64,56.6,50,,
64,53.8,46,,
59,54.2,52,,
57,51.7,46,,
64,49.2,37,,
70,65.2,59,,
57,54.1,52,,
59,50.8,46,,
63,56.3,46,,
54,48.0,43,,
