Max,Avg,Min,,
48,43.3,39,,
46,42.0,36,,
43,36.1,28,,
52,43.3,36,,
59,49.1,41,,
57,49.3,39,,
52,45.1,39,,
63,48.0,32,,
72,54.2,36,,
63,53.6,41,,
61,52.0,45,,
55,48.6,39,,
55,47.2,37,,
54,46.1,39,,
55,45.2,32,,
63,47.6,28,,
68,52.5,32,,
70,54.8,36,,
68,58.6,48,,
57,50.0,41,,
57,50.5,45,,
57,48.4,41,,
61,49.7,37,,
55,48.5,41,,
54,47.0,39,,
54,44.6,32,,
52,45.3,36,,
52,44.6,28,,
59,47.7,36,,
61,47.5,34,,
59,49.1,34,,
