Max,Avg,Min,,
5,1.6,-4,,
9,-7.8,-26,,
16,4.7,-4,,
19,12.2,5,,
18,11.4,1,,
18,2.6,-13,,
23,16.3,10,,
27,16.0,7,,
32,23.5,18,,
30,24.1,16,,
39,31.6,25,,
41,33.8,23,,
50,40.4,34,,
46,38.2,32,,
46,35.6,25,,
43,32.3,27,,
45,28.3,16,,
45,32.8,25,,
37,30.3,21,,
32,25.0,21,,
21,18.0,16,,
21,16.5,14,,
25,16.2,9,,
18,7.1,-8,,
16,0.9,-17,,
21,3.5,-18,,
25,15.8,10,,
37,19.3,5,,
30,23.9,10,,
32,21.6,12,,
30,15.9,-4,,
