Max,Avg,Min,,,,
14,-1.1,-8,,,,
32,26.6,14,,,,
32,30.0,23,,,,
25,22.3,19,,,,
23,21.3,21,,,,
21,17.6,9,,,,
14,10.6,5,,,,
14,7.4,-2,,,,
-2,-10.4,-29,,,,
-20,-26.6,-36,,,,
-13,-19.9,-26,,,,
-4,-8.4,-17,,,,
18,4.6,-4,,,,
45,35.6,19,,,,
43,39.1,36,,,,
37,34.7,30,,,,
32,20.6,12,,,,
14,9.5,0,,,,
10,7.6,3,,,,
10,9.8,9,,,,
9,8.0,5,,,,
10,6.6,3,,,,
12,4.4,-4,,,,
3,0.7,0,,,,
0,-4.2,-9,,,,
12,5.1,0,,,,
10,1.2,-9,,,,
-6,-13.2,-22,,,,
1,-2.6,-8,,,,
0,-1.2,-4,,,,
-2,-5.2,-8,,,,
